,attribute,value,n_samples,prediction_rate,true_positive_rate,false_positive_rate,auc
0,ethnicity,African American,1975,0.17468354430379746,0.7297297297297297,0.1297208538587849,0.9029756357342563
1,ethnicity,Caucasian,14075,0.16987566607460036,0.687192118226601,0.1208680096445516,0.8851532577692753
2,ethnicity,Other/Unknown,861,0.14982578397212543,0.696969696969697,0.10440251572327044,0.9091671431294073
3,ethnicity,Asian,230,0.1565217391304348,0.5789473684210527,0.11848341232227488,0.8889997505612373
4,ethnicity,Hispanic,770,0.2025974025974026,0.6122448979591837,0.14285714285714285,0.8422163508260447
5,ethnicity,Native American,143,0.2097902097902098,0.8571428571428571,0.13953488372093023,0.9285714285714286
6,gender,M,9899,0.17001717345186382,0.6923990498812351,0.12145301976371867,0.8874499507867435
7,gender,F,8436,0.17034139402560455,0.6774193548387096,0.12129485179407176,0.8850420280252069
8,age_group,50-70,7348,0.14752313554708765,0.6890130353817505,0.10483042137718397,0.9011731214731784
9,age_group,30-50,2739,0.09857612267250822,0.7538461538461538,0.06592564200843234,0.9413892738154908
10,age_group,>70,6346,0.22864796722344785,0.6702557200538358,0.17008745315009816,0.8416936322086634
11,age_group,<30,1069,0.0617399438727783,0.65625,0.04339440694310511,0.930327868852459
