,body_system,n_samples,mortality_rate,prediction_rate,auc,precision,recall,f1
2,Cardiovascular,5936,0.07277628032345014,0.13055929919137466,0.9563419365040914,0.4645161290322581,0.8333333333333334,0.5965202982601492
5,Neurological,2441,0.08111429741909054,0.13805817287996722,0.9197210626100506,0.42433234421364985,0.7222222222222222,0.5345794392523364
3,Respiratory,2315,0.12267818574514039,0.25961123110151185,0.8973446786083313,0.3826955074875208,0.8098591549295775,0.519774011299435
0,Sepsis,2312,0.16392733564013842,0.4061418685121107,0.8897103085283106,0.35356762513312034,0.8759894459102903,0.503793626707132
1,Gastrointestinal,1791,0.07872696817420435,0.1440536013400335,0.8947130883301095,0.38372093023255816,0.7021276595744681,0.49624060150375937
4,Metabolic,1558,0.014762516046213094,0.018613607188703467,0.989208327432375,0.5172413793103449,0.6521739130434783,0.5769230769230769
7,Trauma,747,0.06827309236947791,0.12717536813922356,0.9608688302907369,0.4421052631578947,0.8235294117647058,0.5753424657534246
8,Genitourinary,452,0.07079646017699115,0.1172566371681416,0.9473214285714285,0.5283018867924528,0.875,0.6588235294117647
6,Musculoskeletal/Skin,250,0.052,0.06,0.9834469328140215,0.6,0.6923076923076923,0.6428571428571429
10,Hematological,150,0.10666666666666667,0.18,0.929570895522388,0.4444444444444444,0.75,0.5581395348837209
9,Gynecological,70,0.014285714285714285,0.0,0.8260869565217391,0.0,0.0,0.0
