,Feature,Importance,Std
25,fio2_apache,0.0002671318759199681,0.0002608269904357211
37,pao2_apache,0.00022351850842282638,0.0001569664727567907
112,d1_lactate_min,0.0002235185084228153,0.0002159439821222279
113,d1_platelets_max,0.00021806683748567534,0.00017239697215113518
40,sodium_apache,0.0002126151665485465,0.00013453592846595673
133,d1_arterial_ph_max,0.0001744534699885336,0.00016499750259414033
30,glucose_apache,0.0001580984571771249,0.0003460415651214981
71,h1_diasbp_max,0.00014719511530284502,8.80744394123387e-05
72,h1_diasbp_min,0.00013629177342855403,0.0002128945558498186
93,d1_bilirubin_max,0.00011448508967999426,0.00014719511530284624
114,d1_platelets_min,0.00010903341874284323,0.00014830148294972702
143,diabetes_mellitus,0.00010358174780570329,8.60259163607977e-05
54,d1_mbp_invasive_min,8.722673499427236e-05,0.0001294700113071675
148,solid_tumor_with_metastasis,8.177506405711021e-05,3.65709204192395e-05
145,immunosuppression,7.632339311997027e-05,3.616229395798354e-05
35,paco2_apache,5.451670937143271e-05,0.0001034381832906762
97,d1_calcium_max,4.9065038434303875e-05,0.00011025322148043741
90,h1_temp_min,4.906503843428167e-05,0.00012055467692031461
107,d1_hematocrit_max,4.361336749714173e-05,0.00018695336858184336
122,h1_glucose_min,4.361336749714173e-05,0.00013963090524849844
53,d1_mbp_invasive_max,2.7258354685710807e-05,0.0001295847388541047
1,patient_id,2.1806683748559762e-05,0.0001938220447542123
47,d1_diasbp_max,1.6355012811430924e-05,0.0001792431142427421
117,d1_sodium_max,1.6355012811430924e-05,0.00015620725924761126
22,bilirubin_apache,1.635501281140872e-05,0.00017419773547042692
7,gender,1.0903341874279881e-05,8.012287224932065e-05
144,hepatic_failure,0.0,0.0
146,leukemia,0.0,0.0
141,aids,0.0,0.0
15,readmission_status,0.0,0.0
63,d1_sysbp_invasive_max,-1.1102230246251566e-17,0.00013791757772090745
28,gcs_unable_apache,-5.451670937139941e-06,2.935814647076399e-05
147,lymphoma,-5.451670937139941e-06,2.935814647076399e-05
70,d1_temp_min,-1.0903341874279881e-05,0.00030038657392916887
21,arf_apache,-1.0903341874279881e-05,2.1806683748559762e-05
142,cirrhosis,-1.635501281141982e-05,3.4907726312109004e-05
0,encounter_id,-2.1806683748559762e-05,0.0002223854119214119
134,d1_arterial_ph_min,-2.72583546856886e-05,0.000262870052908264
61,d1_spo2_max,-2.725835468572191e-05,8.177506405713612e-05
116,d1_potassium_min,-3.816169655997959e-05,0.00016544721043987542
12,icu_stay_type,-5.451670937139941e-05,5.45167093713994e-05
121,h1_glucose_max,-5.4516709371421614e-05,0.0001312936224040799
105,d1_hemaglobin_max,-6.54200512457015e-05,0.00013748590975214822
123,h1_hemaglobin_max,-7.087172218284143e-05,0.0001064123714547326
36,paco2_for_ph_apache,-7.087172218285253e-05,0.00022877539397436007
129,h1_sodium_max,-8.722673499426126e-05,7.39500625102248e-05
120,d1_wbc_min,-9.26784059314123e-05,0.00024386708004517637
9,hospital_admit_source,-9.26784059314345e-05,0.000169001799051408
6,ethnicity,-9.813007686854114e-05,7.232458791595035e-05
130,h1_sodium_min,-9.813007686857445e-05,9.691102237710769e-05
115,d1_potassium_max,-0.00010358174780570329,0.00014719511530282526
102,d1_glucose_min,-0.00010903341874282101,0.0002300062488113046
138,d1_pao2fio2ratio_min,-0.00011448508967998317,0.0001748788631341102
94,d1_bilirubin_min,-0.00011448508967998317,0.00020317990681550672
46,d1_diasbp_invasive_min,-0.00011448508967998317,0.00011551883607052523
69,d1_temp_max,-0.0001199367606171342,0.00025313605770580736
33,intubated_apache,-0.00012538843155427415,0.00015235445251575664
45,d1_diasbp_invasive_max,-0.00013084010249139188,0.000109577229691115
83,h1_spo2_max,-0.000130840102491403,0.00019382204475418543
124,h1_hemaglobin_min,-0.00013629177342855403,7.415074147488392e-05
125,h1_inr_max,-0.00013629177342855403,0.00023543392990993972
73,h1_diasbp_noninvasive_max,-0.00014174344436570507,0.00016208982987861136
13,icu_type,-0.00015264678623997386,0.00011119270596069645
32,hematocrit_apache,-0.00015809845717711378,0.00013004263688465385
41,temp_apache,-0.0001580984571771249,0.00016254758235705196
14,pre_icu_los_days,-0.0001580984571771249,0.00019874312962501475
118,d1_sodium_min,-0.00016355012811426485,0.00019656279100821648
126,h1_inr_min,-0.0001853568118628246,0.0003105060429787303
57,d1_mbp_noninvasive_max,-0.00019080848279997564,0.00016033845248707702
42,urineoutput_apache,-0.00019080848279998675,0.00018924445246371388
128,h1_potassium_min,-0.00019080848279998675,7.415074147487167e-05
127,h1_potassium_max,-0.0001962601537371156,0.00010957722969113711
38,ph_apache,-0.0001962601537371156,0.0001011134328680754
108,d1_hematocrit_min,-0.00020716349561139547,0.00025778968364034986
60,d1_resprate_min,-0.0002126151665485465,0.00026422331823697855
84,h1_spo2_min,-0.00021806683748570865,0.00017581110501658741
119,d1_wbc_max,-0.00022351850842282638,0.00023568627074324505
109,d1_inr_max,-0.00022351850842282638,0.0001588486320049354
131,d1_arterial_pco2_max,-0.00022897017935997744,0.00014989616840067717
64,d1_sysbp_invasive_min,-0.00023987352123425732,0.00011487383473646911
20,apache_post_operative,-0.00023987352123425732,0.00020281388254633515
91,d1_albumin_max,-0.0002507768631085261,0.00023788283518803827
17,albumin_apache,-0.0002507768631085372,0.00022766846227794503
8,height,-0.00025622853404568826,0.00014016202510146644
110,d1_inr_min,-0.00026168020498282816,0.00013748590975214999
98,d1_calcium_min,-0.00028348688873138796,0.0002519592216822086
74,h1_diasbp_noninvasive_min,-0.000288938559668539,0.00019663837754860751
106,d1_hemaglobin_min,-0.0002943902306056789,0.00031713546469495636
44,wbc_apache,-0.0003161969143542387,0.00023103767214104992
79,h1_mbp_noninvasive_max,-0.0003325519271656696,0.00020171182467425522
81,h1_resprate_max,-0.00034890693997708945,0.00022371787089007301
103,d1_hco3_max,-0.0003543586109142294,0.00020288714022710327
2,hospital_id,-0.00035435861091424046,0.00011755906151036788
49,d1_diasbp_noninvasive_max,-0.00036526195278852036,0.00019512108344517845
4,bmi,-0.0003652619527885426,0.00015809845717710996
101,d1_glucose_max,-0.0003761652946628113,0.00023943947288881473
87,h1_sysbp_noninvasive_max,-0.0003925203074742423,0.0001720518327215511
76,h1_heartrate_min,-0.0003979719784113822,0.0002153927521685575
75,h1_heartrate_max,-0.00041977866215995305,0.0002462924712004852
52,d1_heartrate_min,-0.00041977866215995305,0.0002083793801844412
67,d1_sysbp_noninvasive_max,-0.0004361336749713618,0.00023888025186945887
11,icu_id,-0.0004361336749713951,0.0003243629674675479
77,h1_mbp_max,-0.0004524886877827927,0.00017419773547042657
137,d1_pao2fio2ratio_max,-0.0004688437005942236,0.00011993676061714328
136,d1_arterial_po2_min,-0.0004851987134056435,0.0002573858503867917
65,d1_sysbp_max,-0.0004851987134056435,0.00016970378254672216
39,resprate_apache,-0.0005015537262170744,0.0002668535844849827
111,d1_lactate_max,-0.0005179087390285054,0.00011500312440565494
48,d1_diasbp_min,-0.0005233604099656563,0.0003152555698588187
92,d1_albumin_min,-0.0005451670937142051,0.00013129362240409836
86,h1_sysbp_min,-0.0005560704355885183,0.0003013743653946409
55,d1_mbp_max,-0.0005615221065256359,0.00015039103989680316
89,h1_temp_max,-0.0006160388158970686,0.0001599672981641059
149,apache_3j_bodysystem,-0.0006323938287084774,0.00030078207979357375
10,icu_admit_source,-0.0006651038543313504,0.00023103767214107036
34,map_apache,-0.0006651038543313504,0.00019010626150753142
5,elective_surgery,-0.0006705555252685014,0.00044958935659422336
50,d1_diasbp_noninvasive_min,-0.000703265550891341,0.00021731593990071614
150,apache_2_bodysystem,-0.0007087172218284809,0.00038005615347401223
135,d1_arterial_po2_max,-0.0007305239055770518,0.0002907330671313027
80,h1_mbp_noninvasive_min,-0.0007359755765141918,0.00020866444102931513
16,weight,-0.0007795889440113113,0.00011956447799956577
85,h1_sysbp_max,-0.0007850406149484734,0.00015838018913301685
104,d1_hco3_min,-0.0007959439568227533,0.0002749718195042947
82,h1_resprate_min,-0.0007959439568227644,0.00015264678623998177
88,h1_sysbp_noninvasive_min,-0.0008122989696341953,0.00029504572049795884
78,h1_mbp_min,-0.0008232023115084641,0.0001531327689602398
62,d1_spo2_min,-0.0008722673499427569,0.00025686570330674856
132,d1_arterial_pco2_min,-0.0008777190208799079,0.000257385850386815
26,gcs_eyes_apache,-0.0009104290465027475,0.00032985988131507886
31,heart_rate_apache,-0.0009322357302513184,0.0003097873334825449
24,creatinine_apache,-0.0009649457558741692,0.0005538479122530283
100,d1_creatinine_min,-0.0010685275036798724,0.0005320339267843319
59,d1_resprate_max,-0.0013847244180341333,0.000445705357596245
18,apache_2_diagnosis,-0.0014174344436569842,0.0005008421339085504
3,age,-0.00167911464863979,0.00047388788774139037
51,d1_heartrate_max,-0.001717276345199803,0.0004986118624717643
99,d1_creatinine_max,-0.001984408221119771,0.000494992507782421
19,apache_3j_diagnosis,-0.002120699994548325,0.0008073076125708721
58,d1_mbp_noninvasive_min,-0.0021479583492340247,0.0004607871473393662
68,d1_sysbp_noninvasive_min,-0.002415090225153993,0.00042231980388954715
56,d1_mbp_min,-0.0024423485798397036,0.00035481960628629426
27,gcs_motor_apache,-0.002725835468571114,0.0004043067375617754
23,bun_apache,-0.002878482254811099,0.00030038657392914426
66,d1_sysbp_min,-0.002883933925748261,0.0005070053971542259
43,ventilated_apache,-0.0032055825110396284,0.0005763321282844743
29,gcs_verbal_apache,-0.003848879681622419,0.0004588480709262541
96,d1_bun_min,-0.004050591506296686,0.00029464251467855625
95,d1_bun_max,-0.00547347762089081,0.0003871837955528437
140,apache_4a_icu_death_prob,-0.017292700212615177,0.001033749517409049
139,apache_4a_hospital_death_prob,-0.02010576241618055,0.000967821308751198
